sku_id,day,date,demand,price,dow,month,snap,event
HOBBIES_1_074,0,2011-12-02,1,3.67,4,12,True,
HOBBIES_1_074,1,2011-12-03,0,3.67,5,12,True,
HOBBIES_1_074,2,2011-12-04,0,3.67,6,12,True,
HOBBIES_1_074,3,2011-12-05,0,3.67,0,12,True,
HOBBIES_1_074,4,2011-12-06,0,3.67,1,12,True,
HOBBIES_1_074,5,2011-12-07,0,3.67,2,12,True,
HOBBIES_1_074,6,2011-12-08,0,3.67,3,12,True,
HOBBIES_1_074,7,2011-12-09,0,3.67,4,12,True,
HOBBIES_1_074,8,2011-12-10,0,3.67,5,12,True,
HOBBIES_1_074,9,2011-12-11,0,3.67,6,12,False,
HOBBIES_1_074,10,2011-12-12,0,3.67,0,12,False,
HOBBIES_1_074,11,2011-12-13,0,3.67,1,12,False,
HOBBIES_1_074,12,2011-12-14,0,3.67,2,12,False,
HOBBIES_1_074,13,2011-12-15,0,3.67,3,12,False,
HOBBIES_1_074,14,2011-12-16,0,3.67,4,12,False,
HOBBIES_1_074,15,2011-12-17,0,3.67,5,12,False,
HOBBIES_1_074,16,2011-12-18,0,3.67,6,12,False,
HOBBIES_1_074,17,2011-12-19,0,3.67,0,12,False,
HOBBIES_1_074,18,2011-12-20,0,3.67,1,12,False,
HOBBIES_1_074,19,2011-12-21,0,3.67,2,12,False,
HOBBIES_1_074,20,2011-12-22,0,3.67,3,12,False,
HOBBIES_1_074,21,2011-12-23,0,3.67,4,12,False,
HOBBIES_1_074,22,2011-12-24,0,3.67,5,12,False,
HOBBIES_1_074,23,2011-12-25,0,3.67,6,12,False,Christmas
HOBBIES_1_074,24,2011-12-26,0,3.67,0,12,False,
HOBBIES_1_074,25,2011-12-27,0,3.67,1,12,False,
HOBBIES_1_074,26,2011-12-28,0,3.67,2,12,False,Chanukah End
HOBBIES_1_074,27,2011-12-29,0,3.67,3,12,False,
HOBBIES_1_074,28,2011-12-30,0,3.67,4,12,False,
HOBBIES_1_074,29,2011-12-31,0,3.67,5,12,False,
HOBBIES_1_074,30,2012-01-01,0,3.67,6,1,True,NewYear
HOBBIES_1_074,31,2012-01-02,0,3.67,0,1,True,
HOBBIES_1_074,32,2012-01-03,0,3.67,1,1,True,
HOBBIES_1_074,33,2012-01-04,0,3.67,2,1,True,
